"","scale.rs.","scale.cs.","scale.ps."
"X1",0.0437460254864298,0.0154478610540367,0.0456893615110389
"X2",0.0325646504186733,0.0205857292651164,0.0325998493788686
"X3",0.0259824452542429,0.0115859188061203,0.0246660908953251
"X4",0.0343885834909055,0.00805224442016889,0.029209965771205
"X5",0.0302249266727883,0.0122885379852788,0.039227197859597
"X6",0.0260727690838641,0.0037316437834783,0.0371352477011999
"X7",0.0281852407854664,0.00884734899350187,0.0363485439730974
"X8",0.0285948630702035,0.0130047347155267,0.0274742626109072
"X9",0.0240012711363984,0.0106072097425761,0.034656717886289
"X10",0.0325174257709343,0.0185598449838919,0.0318573661719858
"X11",0.0265846096383052,0.00915826105751413,0.0394959132475295
"X12",0.0201577040758942,0.00946679390759068,0.0314960493259552
"X13",0.0283219213865648,0.01902404258879,0.0275845877244983
"X14",0.0259866910214833,0.00247734183792838,0.0466164378166365
"X15",0.0415868237917937,0.00818475660278163,0.0191063406401367
"X16",0.0269847809112418,0.0106969791183197,0.037438743006494
"X17",0.0412428729060566,0.016745890749245,0.0419959247545225
"X18",0.0316071499875679,0.00837945495600203,0.0268117968909469
"X19",0.0313444603838315,0.011504818515379,0.0309219209062725
"X20",0.0273167035300301,0.0221161100508864,0.0405727528028708
"X21",0.0330539194331837,0.00560776076421728,0.0462354358413889
"X22",0.0297587779747236,0.0205475481687344,0.0170818766485901
"X23",0.0386985464266337,0.0113217507959148,0.0370247012775312
"X24",0.0290755434490152,0.00489614081345479,0.0397041711149653
"X25",0.0407735737743549,0.00944887369036238,0.0416264707142157
"X26",0.0297713882494185,0.0172273859928087,0.0358593050286042
"X27",0.0410032394017564,0.0160639058141201,0.0427730768299941
"X28",0.030641777337592,0.00902139568080107,0.0414853123056538
"X29",0.0410497860293555,0.00422684264456964,0.0345322072653865
"X30",0.0417110226375407,0.0148907071431291,0.039249519003763
"X31",0.036341333976754,0.0171158574630766,0.0428024647853423
"X32",0.0211591208052521,0.0151570652874408,0.0340174759844177
"X33",0.0336312867176229,0.0244626639789872,0.0393795563073323
"X34",0.0330203852690763,0.00385063615498251,0.0324929490372353
"X35",0.0294448753228794,-0.000858574897028558,0.050099600642367
"X36",0.0350206972211478,0.00523376560052419,0.030307626717395
"X37",0.0336675601896135,0.010136655847145,0.0409439116003567
"X38",0.0342822971557492,0.00905246152808332,0.0351248004270013
"X39",0.0467585361789976,0.014346484706499,0.0350659614511225
"X40",0.0467828290504404,0.00811629665845765,0.0284694110433969
"X41",0.0420849705194682,0.0142688847278615,0.0357613889182259
"X42",0.0321027201721477,0.0146946290706868,0.0322503938509323
"X43",0.0374385654473343,0.00682490672153611,0.0242204566257917
"X44",0.042952275684324,0.0119627863082383,0.0384190010391515
"X45",0.040904160580795,0.00957949396957749,0.0398233295356184
"X46",0.0403526631470807,0.0139986935130645,0.0208478585414157
"X47",0.0281041378038691,0.00595324610103362,0.0347943371540238
"X48",0.0351968747303628,0.0209384826176738,0.0284733600309906
"X49",0.0329127903164149,0.0216909508018934,0.0285785419627945
"X50",0.033563099975415,0.0113483772667709,0.0331852816515887
"X51",0.0334010982447238,0.0185296571074711,0.0254721040430124
"X52",0.0351902747741065,0.0144571616947565,0.039509057114407
"X53",0.0359544946585624,0.00929273891593182,0.0341249904813513
"X54",0.0406695487087884,0.010781094253471,0.047213155663715
"X55",0.0379822016339673,0.0154341795935422,0.0318223941654753
"X56",0.030508835341663,0.00764390809813841,0.0466197213306703
"X57",0.0337015033038974,0.00954680687303047,0.045252028373705
"X58",0.0330348011470447,0.0115117193669038,0.0260354941596346
"X59",0.0320165711092796,0.0111445029023636,0.0337191189170375
"X60",0.0382659027900805,0.00686466100005065,0.0410736688881158
"X61",0.0273593843451046,0.0109404130308992,0.0398627516421119
"X62",0.0288692674168144,0.00986091620860042,0.0231624323871336
"X63",0.0298824771269239,0.0199712114172113,0.0275567372678329
"X64",0.020603771757326,0.0126416657862431,0.0486290836428211
"X65",0.0205316736797732,0.00937958842403108,0.042595595242265
"X66",0.0304853491126604,0.0222846963783471,0.0459722561415551
"X67",0.0431245227300441,0.0110953779956613,0.037548243080414
"X68",0.0337022983776551,0.0131640304577608,0.0329862436588928
"X69",0.0330682060957486,0.0113849468782202,0.0194307817327268
"X70",0.0280090965528008,0.022368035213675,0.0302410174344953
"X71",0.0404021315462217,0.00247449797674423,0.0392595734601468
"X72",0.0398919316284613,0.00621630984396383,0.038343968184087
"X73",0.0383141591901202,0.0137153024612602,0.0358859300213786
"X74",0.0333252703790409,0.0139963037726645,0.0327715417907644
"X75",0.0297342970523362,0.00565894305211729,0.0456076177389146
"X76",0.0436443806694875,0.00992044951001604,0.0331022457261776
"X77",0.0403754785487941,0.0168804106056772,0.0457450239194374
"X78",0.0255122913951174,0.006242927370329,0.0403446468577269
"X79",0.0303229574540163,0.0103771950199631,0.0224897093091985
"X80",0.034003205996809,0.0208031700656858,0.0359819285066972
"X81",0.0335910127343171,0.00722938791492797,0.026062908765561
"X82",0.0294686729351547,-0.00293856970046897,0.0311874655410301
"X83",0.0286617963549172,0.00571073087450031,0.023861596206993
"X84",0.0449652937029277,0.0173873656872347,0.0450382126826908
"X85",0.0351097669502511,0.0105336649406277,0.0347347663452245
"X86",0.037090080733989,0.0176423135120718,0.0339691900785988
"X87",0.0308334034662855,0.00713113611300132,0.0277041047916283
"X88",0.0361382766943823,0.00728032416205726,0.0471870548577121
"X89",0.031466211182481,0.0189187388591826,0.0310855786461348
"X90",0.0224396848725495,0.00262993149189417,0.0305573383417479
"X91",0.027586071149523,0.0146494008454493,0.0323247523922735
"X92",0.0381493272791837,0.0148548394017593,0.0230376266274141
"X93",0.0317603353239351,0.0178634820306719,0.0416904699871908
"X94",0.0316033581559651,0.00219955628596117,0.0293663364759898
"X95",0.0158487742398615,0.0212796182854645,0.0481075477465682
"X96",0.0479924376908984,0.00909840791171323,0.0264026320548642
"X97",0.0301979212188864,0.0104775569419067,0.035747515438943
"X98",0.0375506386192057,0.0077819050341658,0.0363239064205223
"X99",0.046866919376741,0.0097785175269445,0.0365329715068723
"X100",0.0293469918191279,0.0040247557411739,0.0314161953729906
